Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg)
Bread and butter pudding ,167.94,19.63,5.59,7.88,11.84,0.98,55.29,105.54
Queen of pudding,132.92,16.35,5.51,5.38,11.77,0.27,60.59,78.26
Pineapple upside down pudding,257.73,35.73,3.15,11.91,22.16,0.8,62.13,26.05
Date and nut pie,322.42,46.86,3.93,13.31,31.18,4.13,18.85,34.69
Stewed apple with custard,92.87,18.36,1.27,1.82,15.46,1.01,0,49.24
Apple snowballs,101.51,24.58,0.86,0.31,19.4,1.25,0,9.43
Hot orange souffle,179.97,18.77,6.87,8.95,14.93,0.29,160.48,53.81
Hot chocolate souffle,226.09,26.21,6.7,11.1,22.88,0.12,138.51,60.19
Hot vanilla souffle,192.93,21.77,6.87,9.07,18.17,0.13,153.55,63.2
Plain burfi (Burfi),408.32,30.88,9.82,27.96,30.43,0.17,38.12,355.78
Coconut burfi (Nariyal ki burfi),467.64,32.15,8.81,34.63,31.5,3.5,29.26,272.81
Bottle gourd burfi (Ghiya/Lauki burfi),275.96,24.51,5.86,17.68,23.92,0.73,26.43,215.85
Chocolate burfi,339.33,33.15,13,17.86,32.38,0,3.78,466.48
Cashewnut burfi (Kaju burfi/Kaju katli),421.74,37.92,5.48,28.46,31.43,1.12,38.62,12.95
Gram flour burfi (Besan burfi),421.79,46.59,11.19,22.41,28.44,3.41,40.13,160.71
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),428.71,52.86,6.71,21.86,33.28,4.68,27.87,106.42
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),464.43,50.9,5.68,27.03,27.32,6.69,33.81,26.72
Gram flour ladoo (Besan ladoo),476.91,62.61,8.93,22.76,37.76,4.43,52.34,25.35
Sesame ladoo (Til ke ladoo),396.96,43.5,10.7,19.64,38.63,7.72,0,631.82
Chenna murki,252.69,36.01,10.46,8.2,35.55,0,0,266.85
Milk cake,127.41,9.13,3.01,8.93,8.9,0.06,11.56,104.94
Ghujia/Lavang latika,768.98,13,1.86,78.93,6.08,0.52,4.62,31.01
Gulab Jamun with khoya,586.06,26.09,2.03,53.23,24.12,0.07,0,67.32
Mal pua,566.68,17.56,1.71,54.64,11.77,0.62,0,30.05
Shahi tukre,189.81,41.46,2.76,2.54,34.7,0.51,0,76.47
Potato pakora/pakoda (Aloo pakoda),677.19,6.04,1.9,71.84,0.22,1.03,0,6.59
Onion pakora/pakoda (Pyaaz ke pakode),674.61,5.41,1.9,71.84,0.88,1.11,0,7.95
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),671.63,4.52,1.98,71.86,0.23,1.26,0,8.44
Mixed vegetable pakora/pakoda,673.81,5.12,1.94,71.86,0.38,1.13,0,9.55
Spinach pakora/pakoda (Palak pakoda),712.62,4.68,1.96,76.38,0.2,1.02,0,10.99
Methi pakora/pakoda (Methi ke pakode),713.25,4.68,2.06,76.39,0.25,1.18,0,23.07
Egg pakora/pakoda (Ande ke pakode),710.51,4.48,2.83,75.86,0.19,0.86,28.39,9.55
Bread pakora/pakoda,710.99,8.87,2.57,74.2,0.46,1.11,0,19.83
Paneer pakora/pakoda,718.12,5.52,3.27,76.05,1.08,0.89,0,43.38
Potato bonda (Aloo bonda),632.84,4.53,1.09,67.8,0.27,0.83,0,6.79
Potato samosa (Aloo ka samosa),577.39,9.21,1.71,59.19,0.29,1.19,2.33,7.63
Minced meat samosa (Keema ka samosa),620.99,6.14,4.43,64.26,0.5,0.39,16.71,6.7
Paneer and pea samosa (Paneer matar ka samosa),623.81,8.55,4.02,63.65,1.69,1.02,0,64.56
Mathri,805.12,12.32,1.75,83.1,0.29,0.6,0,5.23
Khasta kachori,712.73,12.81,2.51,72.27,0.34,0.97,0,7.84
Vegetable cutlet,665.45,4.68,1.25,71.33,0.35,0.93,6.77,13.55
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),701.71,7.39,1.76,73.89,0.27,0.86,6.9,9.17
Peanut cutlet (Mungfali ke cutlet),698.77,5.68,2.63,74,0.51,1.21,6.75,14.38
Fish cutlet (Machli ka cutlet),654.64,3.13,2.77,70.11,0.29,0.54,11.02,10.44
Paneer potato cutlet (Paneer aloo cutlet),672.94,5.23,2.47,71.4,1.02,0.41,13.33,45.36
Spinach chickpeas cutlet (Palak channa dal cutlet),688.03,4.93,1.44,73.6,0.16,0.93,6.98,11.3
Cheese toast,785.37,5.49,1.98,84.11,0.53,0.31,11.55,43.87
Vegetable burger,519.93,13.69,3.26,50.63,1.88,1.7,7.4,26.08
Cheese pizza,249.5,30.62,5.79,12.43,3.42,1.95,10.64,96.51
Vegetable seekh kebab,690.73,5.32,1.57,73.72,0.74,0.59,0,32.66
Masala vada,826.02,4.06,1.69,89.15,0.24,1.07,0,7.45
Peanut sago vada (Sabudana mungfali vada),749.89,7.14,1.01,79.82,0.19,0.62,0,5.03
Vegeterian scotch egg,681.67,4.64,2.16,72.77,0.23,0.58,34.24,15.2
Paneer shaslik/tikka,93.85,7.98,5.11,4.49,4.61,1.23,0,123.86
Peanut brittle (Moongfali ki chikki),320.46,47.46,6.94,11.13,43.92,2.63,2.5,68.03
Spring roll,623.87,8.56,1.81,64.63,0.6,0.67,12.15,9.51
Dry mango chutney (Sookhe aam ki chutney),298.13,69.17,2.43,0.7,61.86,3.74,0,72.05
Peanut chutney (Mungfali ki chutney),258.37,9.87,11.8,19.06,2.76,5.73,0,34.79
Coconut chutney (Nariyal ki chutney),265.92,8.29,3.59,25,3.79,6.73,0,15.7
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),102.6,21.18,2.81,0.51,15.88,4.33,0,107.45
Custard tart,225.6,28.66,3.72,10.73,9.31,0.91,22.28,57.47
Lemon tart,303.35,30.68,6.12,17.45,10.68,0.81,123.17,24.03
Jam tart,360.72,46.18,4.42,17.35,14.74,1.14,44.15,12.23
Orange cream tart,197.16,27.43,2.58,8.72,10.08,0.64,22.13,13.84
Pineapple tart,195.4,28.62,2.29,8.21,11.09,0.87,20.7,12.02
Cheese and mushroom tart,246.1,21.43,5.51,15.28,3.16,1.18,37.99,100.97
Cottage cheese pie,238.98,20.66,7.45,13.83,3.62,2.21,20.86,108.05
Minced meat pie,221.55,18.11,7.38,13.04,1.42,2.33,34.57,18.14
Apple cinnamon pie,258.73,33.68,3.35,12.21,11.95,1.77,36.52,16.14
Lemon meringue pie,224.43,35.11,3.88,8.16,21.17,0.44,75.3,16.79
Chocolate meringue pie,214.76,28.8,4.98,9.17,15.03,0.37,64.11,55.98
Cream puffs,221.33,16,4.7,15.48,5.94,0.38,100.48,37.93
Chocolate eclairs,239.42,26.22,4.24,13.5,17.34,0.33,85.94,34.21
Cheese balls,681.28,4.81,2.21,72.57,0.63,0.18,37.78,30.01
Minced meat patties,265.72,15.25,6.88,19.57,0.88,0.77,81.36,19.23
Cheese patties,324.01,22.23,7.38,22.67,3.93,1.24,0,126.41
Hot cheese souffle,177.1,5.41,9.18,13.23,2.91,0.12,149.14,169.17
Hot potato souffle,125.64,8.56,5.51,7.64,1.78,0.66,109.09,56.84
Hot fish souffle,142.92,3.69,11.23,9.24,1.68,0.1,122.69,58.18
Hot spinach souffle,104.25,4.19,5.43,7.24,1.64,0.99,100.84,80.77
Plain cream cake,353.94,47.18,6.18,16.17,27.74,0.71,120.92,41.95
Apple cake (Seb ka cake),290.08,39.48,4.94,12.87,23.52,1.22,94.69,38.99
Marble cake,354.11,46.88,6.3,16.27,27.56,0.71,120.14,39.6
Chocolate cake,335.61,45.14,6.01,15.18,27.58,0.64,109.36,41.13
Orange cake,357.61,48.28,6.1,16.21,28.38,0.83,123.67,29.72
Fruit Loaf ,324.19,46.49,5.36,13.31,24.54,0.87,90,45.71
Banana cake (Kele ka cake),389.51,40,5.77,23.31,23.04,1.14,68.99,23.55
Chocolate chiffon cake,311.71,37.87,5.76,15.8,24.25,0.7,93.35,42.15
Christmas cake,372.95,48.29,5.49,16.88,27.45,1.49,97.81,40.98
Strawberry and vanilla cake with butter icing,370.54,44.25,3.89,20.39,32.43,0.79,101.12,28.17
Eggless cake,318.08,46.14,8.12,11.75,27.7,0.68,27.68,212.97
Swiss roll,251.87,48.34,7.3,3.77,32.96,0.55,144.66,24.11
Pineapple pastry ,208.21,29.04,6.06,7.87,18.83,0.72,115.34,42.97
Black forest pastry,233.55,34.48,6.09,8.46,21.35,0.54,113.03,44.15
Coconut finger,274.86,42.56,7.09,8.86,28.55,1.87,127.97,24.04
Pineapple cake ,195.57,23.51,5.01,9.34,16.16,0.76,92.79,49.06
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),424.8,47.1,6.56,23.62,22.58,1.54,69.03,36.1
Chocolate chip cookies,425.29,57.98,5.79,19.38,30.29,1.05,75.98,24.76
Sweet plain biscuit,380.76,50.29,5.86,17.67,21.77,1.07,76.89,42.88
Chocolate biscuit,379.76,51.56,5.88,17.09,24.16,1.01,72.66,41.51
Coconut biscuit (Nariyal ke biscuit),434.98,42.9,5.78,27.16,20.76,3.64,64.98,37.81
Sweet and salty biscuit (Meethay aur namkeen biscuit),407.96,45.09,6.15,22.39,7.22,1.68,55.18,37.24
Peanut biscuit,401.05,46.72,8.45,20.41,21.26,2.48,61.88,50.58
Pin wheel biscuit,404.6,54.56,5.4,18.66,23.25,1.16,44.65,42.7
Saffron biscuit (Kesar biscuit),458.61,59.7,6.05,22.01,22.42,1.9,49.64,25.71
Masala biscuit,393.64,45.18,6.06,20.75,6.82,2.14,51.29,53.73
Ice box cookies,374.24,56.09,5.7,14.44,26.69,1.28,70.82,18.5
Ginger bread man,365,60.26,6.61,11.01,29.12,1.6,75.31,37.92
Danish cookies,475.33,58,5.33,24.92,21.73,1.37,63.58,15.97
Short bread cookies,443.09,64.82,6.03,17.98,23.31,1.57,45.48,15.92
Coffee biscuit,416.57,46.55,6.9,23,21.69,1.59,63.97,48.92
Melting moments,437.91,55.84,5.71,21.78,25,1.88,80.33,30.39
Ginger biscuit (Adarak ke biscuit),417.91,58.44,5.98,18.31,27.06,1.49,81.73,25.97
Soyabean muthias,839.33,3.7,2.46,90.45,0.17,1.47,0,12.16
Soyabean tikki,698.17,4.39,3.53,74.02,0.35,2.2,0,29.23
Soyabean namak paras,838.46,4.65,2.65,89.83,0.22,1.41,0,12.13
Peanut burfi (Moongfali ki burfi),550.99,48.14,9.31,36.84,43.08,4.09,0,25.2
Spinach peanut namak paras (Palak moongfali namak paras),740.16,6.62,1.65,78.51,0.28,0.81,0,13.35
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),758.89,7.63,2.08,80.04,0.25,1.39,0,12.13
Rice moong dal cheela (Chawal aur moong dal ka cheela),798.26,11.13,2.74,82.44,0.15,1.18,0,4.99
Split bengal gram sweet rice (Channa dal sweet rice),190.21,41.07,4.15,0.64,19.41,2.23,0,30.37
Sweet poori (Meethi poori),782.75,14.26,2.12,79.63,7.15,1.54,0,34.24
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),441.08,60,9.84,18.41,31.12,6.02,35.14,25.2
Spinach burfi (Palak burfi),121.17,12.76,2.71,6.81,12.12,1.17,5.65,93.68
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),366.59,62.66,9.51,7.93,24.73,8.16,15.56,53.3
Sprouted moong daliya ,111.56,14.77,2.81,4.71,1.67,3.12,0,22.62
Sprouted moong poha ,192.6,26.6,5.59,6.89,1.93,3.13,0,28.39
Pearl millet ladoo (Bajra ladoo),319.66,50.98,9.61,8.06,27.44,6,0,118.74
Paushtik ladoo,485.87,60.34,7.65,24.98,38.12,4.57,52.71,20.67
Paushtik roti,149.26,26.59,7.17,1.51,2.03,5.74,0,52.74
Semolina carrot vada (Suji gajar vada),699.53,6.52,1.56,74.07,1.21,1.07,1.18,26.47
Dhokla,216.49,30.68,13.45,5.28,4.78,4.95,5.16,123.21
Kashmiri tea (Kehwa),24.9,5.23,0.17,0.51,5.14,0.16,0,3.19
Steeped hot coffee,15.91,3.01,0.39,0.33,2.96,0,0,10.4
Hot chocolate,90.01,9.02,3.43,4.61,8.86,0,0.02,113.63
Cold coffee (with cream),82.76,11.98,1.93,3.29,11.91,0,3.29,64.43
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),76.45,11.15,2.01,2.77,9.94,0.27,1.3,68.3
Flavoured milkshake,66.78,8.65,2.06,2.83,8.61,0,0,75.05
Jal jeera,30.24,6.7,0.44,0.26,5.71,0.95,0,24.72
Gingo,48.02,12.42,0.14,0.06,12.08,0.17,0,6.33
Mintade,40.32,10.59,0.03,0.02,10.47,0.03,0,2.1
Canjee,6.61,0.44,0.24,0.42,0.21,0.36,0,5.82
Cauliflower canjee (Phoolgobhi ki canjee),6.9,0.35,0.39,0.42,0.09,0.49,0,6.26
Potato canjee (Aloo canjee),16.26,2.69,0.44,0.39,0.1,0.43,0,5.21
Vermicelli porridge (Semiya/Seviyan porridge),78.4,10.56,2.5,2.98,7.04,0.48,0.62,72.96
Semolina upma (Suji/Rava upma),147.89,16.31,3.3,7.49,1.31,3.24,0,21.57
Vermicelli upma (Semiya/Seviyan upma),149.11,16.88,3.11,7.45,1.4,3.21,0,20.3
Rice upma,151.27,17.96,2.63,7.46,1.13,2.12,0,17.57
Bread upma,129.51,12.6,2.8,7.75,1.56,1.96,0,45.22
Vegetable upma,146.47,16.46,4.73,6.63,1.39,4.19,0,26.68
Poha,294.53,35.05,6.09,14.14,0.87,3.72,0,37.67
Vegetable poha,180.52,21.52,4.89,8.07,1.4,3.76,0,28.01
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),154.89,19.42,6.97,5.11,1.11,4.25,0,39.34
Paneer stuffed cheela/chilla,205.19,19.16,11.44,8.89,3.81,4.03,0,151.3
Indian style egg bhujia (Anda bhujia (Indian style)),102.83,3.76,6.1,7.02,1.95,1.53,145.28,31.9
French omelette/omlet,211.04,0.41,10.03,18.86,0.1,0.38,300.44,46.35
Puffy omelette/omlet,188.15,0.08,8.82,16.84,0.08,0,268.82,34.96
Orange omelette/omlet,194.66,1.68,8.93,16.84,1.68,0,268.82,37.33
Cheese and mushroom omelette/omlet,205.63,1.68,9.69,17.82,1.07,0.93,184.53,148.77
Spanish omelette/omlet,157.45,5.1,8.25,11.44,1.03,2.54,145.23,31.72
Mixed stock,25.19,0.33,2.06,1.71,0.2,0.15,10.55,2.06
Meat stock,24.48,0,2.1,1.78,0,0,11.03,0.86
White stock,6.99,0.4,0.07,0.56,0.24,0.17,1.39,1.58
Meat consomme (with mutton),29.76,0.51,14.86,13.68,0.24,0.71,0,115.88
Consomme au julienne,27.76,1.49,12.49,10.66,0.83,1.38,6.4,85.89
Consomme au vermicelli,29.94,1.3,15.23,12.98,0.27,0.81,7.85,97.34
Green pea soup (Matar ka soup),39.81,3.63,11.06,12.9,0.87,2.49,4.16,46.63
Spinach soup (Palak ka soup),32.59,3.03,10.54,14.26,0.29,1.98,4.24,56.23
Mixed vegetable soup,35.71,2.95,8.22,11.66,1.64,1.64,3.87,50.69
Cheese soup,41.13,1.87,12.39,17.07,0.84,1.8,9.56,83.65
Mulligatawny soup,54.42,8.24,11.26,13.28,1.26,2.6,3.05,43.89
Cream of carrot soup,59.77,5.69,8.27,12.35,1.77,1.98,6.67,57.24
Cream of broccoli soup,56.14,3.72,8.97,12.75,1.59,1.89,7.67,66.55
Cream of potato soup,60.2,6.14,8.1,12.05,1.24,1.51,6.53,51.97
Almond soup (Badam ka soup),78.65,3.68,10.13,13.8,1.94,0.91,28.18,114.95
Cold cucumber cream soup ,11.88,1.76,0.34,0.34,0.51,0.73,0.72,8.02
Cold tomato soup,16.9,0.59,0.11,1.56,0.22,0.16,3.88,4.2
Chicken stew,127.55,4.44,7.19,8.91,1.43,1.82,32.34,31.53
Veg paneer stew,145.55,10.22,6.98,8.41,4.85,3.08,0,160.51
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),191.27,26.37,4.37,7.27,2.71,5.16,0,24.91
Methi parantha/paratha,148.36,22.19,4.27,4.34,2.44,5.09,0,65.85
Bathua poori,598.79,13.85,2.35,59.14,0.41,1.87,0.6,30.83
Gram flour poori (Besan poori),697.66,10.93,2.59,71.51,0.35,1.94,0.73,7.09
Beetroot poori (Chukandar ki poori),527.66,12.29,1.91,52.18,0.54,1.4,0.53,5.38
Peas poori (Matar ki poori),592.83,14.92,3.04,57.69,0.48,2.25,0.59,8.96
Peas kachori (Matar kachori),584.68,13.25,3.21,57.51,0.5,2.03,0,14.25
Pizza,146.77,9.94,6.85,8.72,1.38,1.71,18.65,77.23
Bacon and mushroom pancake,157.67,8.47,6.82,10.6,1.23,1.59,39.23,44.74
Cheese and tomato pancake,147.39,10.66,5.15,9.28,3.48,1.06,38.27,127.51
Minced meat pancake (with chicken),116.04,8.18,12.01,10.48,1.29,0.7,33.26,64.72
Eggplant/Brinjal rice (Vangi bhat),184.8,31.74,5.28,3.67,4.36,4.44,0,36.02
Kashmiri 'tahar',98.21,19.11,1.95,1.37,0.17,0.98,3.02,3.93
Cumin pulao (Jeera/Zeera pulao),135.24,23.61,2.47,3.2,0.64,1.4,0,7.25
Peas pulao (Matar pulao),108.87,18.42,3.89,1.9,1.3,3.21,0,18.18
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),116.53,19.72,3.6,2.3,1.59,3.16,0,19.09
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),125.51,21.55,3.44,2.58,1.99,2.69,0,16.51
Mutton pulao,130.77,11.26,6.52,10.78,1,1.65,2.35,49.87
Chicken pulao,108.24,11.17,6.07,8.48,0.99,1.64,11.55,32.25
Mexican rice,120.57,14.21,4.62,4.88,1.44,1.64,11.9,14.51
Plain khitchdi (Plain khichri/khichdi),57.03,10.04,1.72,1.01,0.12,0.85,2.14,5.05
Instant idli (with semolina),247.29,43.4,9.16,3.61,3.35,7.13,3.12,93.2
Plain dosa,380.91,64.08,10.34,8.43,0.7,5.23,19.9,19.35
Masala dosa mixed vegetable fillings,144.53,23.02,4.84,3.26,1.53,4.31,5.18,31.79
Masala dosa paneer fillings,243.12,29.76,10.31,8.84,4.81,3.11,7.29,171.23
Uttapam,255.95,36.28,6.18,9.03,1.5,4.4,10.57,40.86
Appam,267.7,13.28,3.12,22.63,4.16,6.19,0,6.36
Beans and macaroni,136.08,14.24,4.58,7.01,1.68,2.05,19.67,86.86
Spaghetti bolognese,97.43,10.04,9.35,9.51,1.41,1.08,13.91,73.66
Meat and macaroni casserole,161.55,16.12,9.15,10.17,1,1.19,2.13,68.28
Spaghetti with meat balls and tomato sauce,158.13,10.46,5.61,10.64,1.87,1.11,16.15,40.82
Spaghetti with paneer balls and tomato sauce,158.54,12.72,3.95,10.44,3.03,1.25,2.57,80.73
Lasagne with meat sauce,63.38,5.38,2.9,3.43,1.04,0.47,8.8,24.61
Lasagne with vegetables,49.23,5.9,1.71,2.16,1.37,0.66,2.81,32.89
Home made egg noodles,240.84,42.92,6.55,4.37,1.03,1.6,38.27,15.96
Sour lentils (Khatti dal),34.79,6.04,2.22,0.12,1.25,1.22,0,8.29
Urad special dehusked,69.43,8.86,3.14,2.17,1.32,2.5,4.62,16.4
Arhar with spinach (Arhar dal aur palak),52.84,4.77,2.05,2.76,0.23,1.3,6.1,21.81
Moong dal with vadi,24.08,1,0.4,2.05,0.45,0.39,4.75,2.99
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),26.74,3.37,1.13,0.88,0.83,1.6,0,16.56
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),24.41,2.85,1.11,0.87,0.44,1.54,0,15.56
Green gram whole with baghar (Sabut moong dal with tadka),63.43,6.8,3.23,2.48,0.15,3.02,5.45,25.04
Urad sabut special,79.39,5.03,2.33,5.46,0.86,2.15,13.38,21.45
Kabuli channa curry,68.57,7.63,2.92,3.06,1.24,1.12,0.15,32.03
Besan gatte curry,189.38,16.26,7.75,10.72,4.5,3.25,2.8,151.08
Dry masala chops,135.07,3.3,9.08,9.54,2.27,0.86,2.24,112.25
Mutton korma,115.64,2.53,7.09,8.54,1.64,0.78,3.9,79.07
Shahi keema kofta curry,418.13,1.73,4.14,43.83,0.78,0.91,14.97,14.51
Minced meat ball curry,109.79,2.86,6.82,7.85,1.27,1.49,24.77,23.84
Boti kebab,132.86,3.06,9.22,9.27,2.09,0.76,1.21,98.67
Mutton seekh kebab,133.94,3.11,11.25,8.43,1.4,1.88,0,117.44
Indian lamb and egg curry (Nargisi kofta),335.75,2.07,3.84,34.7,0.75,0.6,44.04,12.91
Soya chunks sweet and sour (Nutrinugget sweet and sour),500.94,3.27,2.85,55.99,1.1,0.86,23.51,13.89
Soya chunks korma (Nutrinugget korma),131.43,7.67,3.86,9.5,4.66,2.57,3.32,89.7
Mushroom matar,70.77,5.33,2.79,4.11,1.39,3.13,0,21.42
Soya chunks and peas (Nutrinugget matar),82.62,5.82,3.03,5.11,1.64,2.86,0,20.32
Vegetable yakhni,406.06,1.94,1.18,43.8,1.44,0.61,1.92,43.67
Spinach mushroom (Palak mushroom),47.63,2.95,1.94,2.96,1,2.27,2.89,49.75
Vegetarian nargisi kofta curry,332.15,6.58,2.29,32.94,1.65,0.86,1.03,47.09
Roast chicken,199.9,0.1,20.49,13.06,0.05,0.03,69.66,13.61
Shahi chicken masala,163.7,4.07,9.82,12.02,2.86,0.96,24.78,82.68
Tomato chicken,111.68,2.13,10.57,6.71,0.93,1.42,27.94,21.24
Creamy chicken,152.87,3.13,13.52,9.57,2.11,0.69,39.28,50.37
Broccoli chicken ala king,119.56,5.34,7.97,7.57,2.49,1.92,27.85,73.36
Ginger chicken,129.17,5.6,8.24,8.24,1.95,1.21,19.24,18.41
Chicken sweet and sour,445.09,2.67,6.92,47.59,0.89,0.58,32.47,21.98
Chicken korma,147.96,5.43,9.83,9.67,3.32,1.82,23.66,68.66
Bengal fish curry (Bengali machli curry),109.43,4.42,7.26,7.03,2.39,1.93,13.92,44.44
Fish finger,542.9,4.47,5.66,55.82,0.17,0.34,30,11.38
Fish in coconut milk (Nariyal ke doodh ke saath machli),86.21,2.73,8.66,4.43,1.55,1.52,17.13,21.94
Prawn curry (with coconut) (Jhinga curry),109.55,3.1,8.54,6.93,2.03,1.56,37.12,37.25
Baked stuffed fish,121.96,2.12,16.14,5.43,0.35,0.38,36.95,18.8
Fish pie,120.9,7.74,9.25,5.77,1.13,0.76,23.97,36.15
Crispy baked fish,138.4,9.59,10.95,6.41,1.53,1.21,28.89,60.04
Fish souffle,139.71,5.14,10.51,8.55,2.09,0.19,84.69,63.87
Potato curry (Aloo ki sabzi),89.56,10.42,1.52,4.47,1.58,2.42,0,23.74
Egg curry (Anda curry),117.52,4.03,5.38,8.81,1.9,2.09,120.74,41.59
Vegetable curry with coconut ,83.07,7.19,2.77,4.66,1.41,3.35,0,19.63
Curd with potatoes (Dahi aloo),59.9,7.15,1.56,2.72,1.82,1.19,1.45,36.36
Potato kofta curry (Aloo kofta curry),455.4,2.78,0.56,49.08,0.63,0.56,2.6,7.77
Yam kofta curry (Zimikand/Suran kofta curry),322.88,3.75,0.71,33.84,0.63,1.04,3.54,8.35
Jackfruit kofta curry (Kathal ka kofta curry),321.08,3.17,0.8,33.83,2.4,0.96,3.54,11.36
Spinach and potato (Palak aloo),57.17,5.91,1.63,2.82,0.93,2.04,0,43.67
Mooli bhujia,91.2,4.74,1.69,7.25,1.07,2.36,0,131.88
Bathua bhujia,90.9,3.63,2.26,7.29,1.08,3.8,0,165.84
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),142.48,6.09,8.21,9.36,1.26,1.84,32.9,31.54
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),124.63,7.03,5.76,8.17,3.81,2.35,18.79,29.82
Dry arbi (Sookhi arbi),134.95,11.11,2.12,8.97,1.55,2.47,0,22.77
Masala arbi,185.38,16.16,3.01,11.9,0.81,3.1,0,32.08
Peas brinjal bhartha (Matar baingan bhartha),84.55,5.02,2.05,6.05,1.57,3.63,0,19.63
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),110.81,4.5,1.83,9.27,1.42,3.57,0,67.88
Crispy okra/Crispy lady's fingers (Karare bhindi),657.76,4.35,1.91,70.4,0.26,1.75,0,27.61
Beans foogath,105.06,3.26,2.03,9.22,1.7,4.15,0,44.2
Stuffed bittergourd (wet) (Bharwa karele),162.36,4.68,1.36,15.24,1.95,2.86,0,17.25
Jackfruit/Kathal (dry),488.97,4.56,0.93,51.78,3.55,1.33,0,12.79
Yam fried (Zimikand/Suran fried),491.76,5.47,0.79,51.79,0.8,1.44,0,8.11
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",95.67,8.23,2.75,5.54,1.47,3.26,0,21.05
Vegetable jalfrezi,68.48,5.43,1.4,4.38,1.79,2.97,0,27.11
Vegetables stir fry ,30.78,3.19,1.04,1.47,0.86,1.37,0,13.3
Broccoli delight,40.7,2.34,2.49,2.48,1.08,2.83,0,26.99
Dhansak (vegetarian),82.8,7.28,3.32,4.18,0.91,4.17,0,26.4
Cauliflower basket,90.95,3.97,5.21,5.88,1.47,2.4,51.1,100.19
Stuffed bottle gourd (Stuffed ghiya/lauki),93.19,4.36,5.84,5.8,1.52,1.18,45.61,71.83
Ducheese potato,140.54,10.94,3.6,9.01,0.29,1.29,85.15,18.1
Roast potatoes ,87.32,14.52,1.53,2.35,0.33,1.71,5.51,10.38
Stuffed baked potatoes ,100.2,11.03,3.82,4.39,0.4,1.31,72.99,25.72
Potato nests,111.62,11.05,5.71,4.77,1.41,2.49,26.5,55.25
Parsley potato,119.51,13.81,1.49,6.28,0.34,1.59,15.71,11.43
Creamed spinach and mushroom,419.62,3.17,2.28,44.14,1.17,1.02,7.15,65.49
Fricassee of Mushroom,106.66,8.13,3.65,6.63,2.51,1.23,13.55,84.97
Cauliflower au gratin,145.9,9.13,4.45,10.2,3.01,1.44,22.15,119.69
Vegetable and cheese pie,126.88,8.76,4.03,8.28,2.69,1.91,18.88,99.48
Spinach souffle ,150.18,6.27,7.36,10.52,0.89,1.44,114.71,133.69
Beetroot and egg salad (Chukandar aur ande ka salad),84.92,3.4,3.36,6.45,1.97,0.55,82.25,18.13
Sour cream potato salad,121.9,9.05,2.89,8.13,0.84,1.21,47.29,23.25
Tossed green salad,49.88,3.82,1.33,3.24,1.9,1.33,0,33.71
Spring basket salad,160.46,11.61,3.36,11.3,1.46,3.09,8.17,45.65
Cucumber and yogurt salad (Kheere aur dahi ka salad),36.13,4.72,2.09,0.93,2.28,1.66,2.87,68.49
Chicken and tomato towers,100.55,2.36,6.9,6.99,1.21,1.14,20.73,17.54
Jellied sunshine fruit salad,48.86,4.21,5.85,0.85,2.86,1.8,0,37.14
Tomato aspic,50.37,5.02,6.87,0.26,3.21,1.58,0,44.28
Frozen frosty fruit salad (Phalon ka salaad),103.51,15.61,1.68,4.17,14.38,0.26,26.33,28.61
French dressing,733.77,3.68,0.32,79.65,3.01,0.22,0,6.98
Mayonnaise without eggs,329.05,3.98,2.13,33.84,3.68,0.04,0,75.54
Curd dressing ,78.8,8.03,5.59,2.9,7.57,0.22,10.52,194.59
Carrot raita (Gajar ka raita),64.78,7.19,4.14,2.19,5.99,1.69,6.98,146.72
Pumpkin raita (Kaddu ka raita),55.6,6.02,3.74,1.88,5.48,1.04,6.47,130.11
Mint and peanut raita (Pudinay aur moongfali ka raita),112.05,7.31,7.05,6.19,6.17,1.79,8.26,191.01
Spinach raita (Palak ka raita),52.75,5.06,3.95,1.86,3.97,1.39,5.41,142.96
Bathua raita,54.4,5.31,4.13,1.76,4.11,2.19,5.41,206.31
